,id,title,requirement_id,preconditions,steps,expected_result,priority,test_type
0,TC-001,Successful password reset via valid email,REQ-1,User has a registered account with a verified email address. User is on the login page.,"Navigate to the TaskFlow login page,Click on 'Forgot Password' link,Enter a valid registered email address in the input field,Click the 'Send Reset Link' button,Open the email inbox and locate the password reset email,Click the reset link in the email,Enter a new valid password and confirm it,Click 'Reset Password' button",Password is successfully reset. User receives a confirmation message and is able to log in with the new password.,High,functional
1,TC-002,Password reset attempt with unregistered email,REQ-1,User is on the 'Forgot Password' page. The email address to be used does not exist in the system.,"Navigate to the TaskFlow login page,Click on 'Forgot Password' link,Enter an email address that is NOT registered in the system,Click the 'Send Reset Link' button","System displays a generic message such as 'If this email is registered, you will receive a reset link.' No reset email is sent. No account or user data is exposed.",High,negative
2,TC-003,Password reset with malformed or empty email input,REQ-1,User is on the 'Forgot Password' page.,"Navigate to the TaskFlow 'Forgot Password' page,Leave the email field empty and click 'Send Reset Link',Re-attempt by entering a malformed email (e.g., 'user@', 'notanemail', '@domain.com'),Click 'Send Reset Link' for each malformed input","System displays an appropriate validation error message (e.g., 'Please enter a valid email address') and does not submit the form or send any email.",High,negative
3,TC-004,Password reset link expiry boundary check,REQ-1,"User has requested a password reset and received a reset link via email. The system has a defined expiry time for reset links (e.g., 60 minutes).","Request a password reset for a valid registered email,Wait until the reset link is just about to expire (e.g., at 59 minutes 50 seconds),Click the reset link and attempt to reset the password,Complete the password reset flow,Request another reset link and wait until it has fully expired (e.g., 61 minutes),Click the expired reset link and attempt to reset the password",A link used just before expiry (within valid window) allows password reset successfully. A link used after expiry displays an error message such as 'This reset link has expired. Please request a new one.' and does not allow password reset.,Medium,boundary
4,TC-005,Password reset link cannot be reused after successful use,REQ-1,User has received a valid password reset link via email and has already used it to successfully reset their password.,"Request a password reset for a valid registered email,Click the reset link from the email,Enter and confirm a new valid password,Click 'Reset Password' and confirm the reset is successful,Copy and re-open the same reset link URL in the browser,Attempt to reset the password again using the same link",The system rejects the reused link and displays an error such as 'This reset link has already been used or is invalid.' User cannot reset the password again using the old link.,High,security
5,TC-REQ2-001,Successful password reset via valid registered email,REQ-2,User has a registered account with a valid email address. The email service is operational. User is on the login page.,"Navigate to the login page,Click on 'Forgot Password' link,Enter a valid registered email address in the password reset form,Click the 'Send Reset Link' button,Open the email inbox and locate the password reset email,Click the password reset link in the email,Enter a new valid password and confirm it,Click 'Reset Password' button,Attempt to log in with the new password","User receives a password reset email within a reasonable time (e.g., 2 minutes), is able to set a new password, and can successfully log in with the updated credentials. The old password no longer works.",High,functional
6,TC-REQ2-002,Password reset attempt with unregistered email address,REQ-2,User is on the 'Forgot Password' page. The email address to be used is not registered in the system.,"Navigate to the 'Forgot Password' page,Enter an email address that is not associated with any account (e.g., notregistered@example.com),Click the 'Send Reset Link' button,Check the inbox of the unregistered email for any received messages","The system displays a generic confirmation message (e.g., 'If this email is registered, you will receive a reset link') to prevent user enumeration. No password reset email is sent to the unregistered address.",High,negative
7,TC-REQ2-003,Password reset link expiry boundary - link used after expiration,REQ-2,"User has requested a password reset and received the reset link via email. The system enforces a reset link expiration time (e.g., 1 hour).","Request a password reset for a valid registered email,Wait until the reset link has expired (e.g., after 1 hour or as per system configuration),Click the expired password reset link from the email,Attempt to enter and submit a new password using the expired link",The system displays an error message indicating the reset link has expired or is no longer valid. The user is prompted to request a new password reset link. The password is not changed.,High,boundary
8,TC-REQ2-004,Password reset form submitted with empty email field,REQ-2,User is on the 'Forgot Password' page.,"Navigate to the 'Forgot Password' page,Leave the email input field blank,Click the 'Send Reset Link' button","The system displays a validation error message indicating the email field is required (e.g., 'Email address is required'). No request is sent to the server and no reset email is dispatched.",Medium,negative
9,TC-REQ2-005,Password reset link can only be used once (single-use token),REQ-2,"User has received a valid, unexpired password reset link via email and has already used it to successfully reset the password.","Request a password reset for a valid registered email,Click the reset link and successfully set a new password,Copy and re-use the same reset link URL in a new browser session,Attempt to set another new password using the already-used link","The system rejects the reused reset link and displays an error message (e.g., 'This reset link has already been used or is invalid'). The password is not changed again, protecting the account from replay attacks.",High,security
