,id,title,requirement_id,preconditions,steps,expected_result,priority,rationale
0,EC-001,Password reset while user is currently logged in,REQ-1,User has an active authenticated session in TaskFlow and navigates to the password reset page directly via URL,"Log in to TaskFlow with valid credentials,While the session is active, navigate directly to the password reset URL,Enter the currently registered email address,Submit the password reset form,Check whether the reset email is sent and observe system behavior","The system should either redirect the already-authenticated user away from the reset page or handle the request gracefully without exposing session or account information, and should not allow a silent session takeover or duplicate reset link issuance without proper messaging.",High,An authenticated user triggering a password reset is an overlooked auth edge case that could expose session management vulnerabilities or allow account disruption by a third party who has temporary access to the browser.
1,EC-002,Multiple concurrent password reset requests for the same account,REQ-1,A registered user account exists in TaskFlow and the email service is operational,"Initiate a password reset request for a valid registered email address,Before the first reset link is used or expires, immediately initiate a second password reset request for the same email,Optionally initiate a third request in rapid succession (simulate concurrency),Receive all reset emails and attempt to use the first-issued reset link,Then attempt to use the second-issued reset link",Only the most recently issued reset link should be valid. All previously issued links for the same account should be invalidated upon issuance of a new link. The system should not allow multiple active reset tokens simultaneously for the same account.,High,"Concurrency in reset link generation is a common security gap. If multiple valid tokens coexist, a malicious actor who intercepts an older email could still reset the password, undermining security."
2,EC-003,Password reset link accessed from a different browser or device than where it was requested,REQ-1,A valid password reset link has been generated and sent to the user's email,"Request a password reset from Browser A on Device 1,Open the reset link from the email on a completely different browser (e.g., Browser B) on a different device (Device 2),Attempt to complete the password reset process by entering a new password,Submit the new password and observe the outcome","The system should allow the password reset to complete successfully regardless of the browser or device, as reset links should be stateless tokens not bound to a specific session, browser, or device. The user should be informed of the successful reset.",Medium,Reset links sent via email must be device- and browser-agnostic. Binding tokens to a session or browser fingerprint would break legitimate use cases and is a common implementation mistake.
3,EC-004,Password reset email delivery to an address with special characters or an alias format,REQ-1,"A registered TaskFlow account exists using an email address containing special characters or plus-sign aliasing (e.g., user+alias@domain.co.uk or user.name+tag@sub.domain.com)","Navigate to the password reset page,Enter the registered email address containing special characters such as a plus sign, dots, or a subdomain (e.g., user+taskflow@domain.com),Submit the reset request,Check whether the reset email is delivered to the correct inbox,Attempt to use the delivered reset link to complete the password reset","The system should correctly parse, store, and process email addresses with valid RFC 5321 special characters. The reset email should be delivered successfully, and the reset flow should complete without error.",Medium,"Email addresses with plus signs or subdomains are valid per RFC standards but are frequently mishandled by input sanitization or regex validation logic, causing silent failures in the reset flow for a subset of users."
4,EC-REQ2-001,Password reset on mobile responsive web — layout and functionality integrity,REQ-2,"User accesses the password reset flow via a mobile browser (e.g., viewport width ≤ 375px). The web application is expected to be responsive as per REQ-2 scope.","Open a mobile browser (or emulate a 375px viewport) and navigate to the password reset URL.,Verify the reset form renders correctly without horizontal overflow or broken layout.,Enter a valid registered email address in the email field.,Submit the form and follow the reset link received via email.,Complete the password reset flow entirely on the mobile viewport.","The entire password reset flow (form submission, confirmation message, reset link page, and new password entry) is fully usable and correctly rendered on a mobile-sized viewport with no broken UI elements or inaccessible controls.",High,"REQ-2 explicitly states mobile native apps are out of scope but the web app must be responsive. The existing tests do not cover responsive/mobile rendering of the password reset flow, which is a critical in-scope requirement."
5,EC-REQ2-002,Password reset email field submitted with whitespace-only input,REQ-2,User is on the password reset page. The system handles user authentication as part of its in-scope features.,"Navigate to the password reset page.,Enter one or more space characters (e.g., '   ') into the email address field.,Submit the password reset form.","The system treats whitespace-only input as invalid, does not attempt to look up or send a reset email, and displays an appropriate validation error message (e.g., 'Please enter a valid email address'). No reset email is dispatched.",Medium,"The existing empty-field test covers a completely blank submission, but whitespace-only input is a distinct boundary case that can bypass naive empty-string checks and potentially trigger unexpected backend behavior or errors."
6,EC-REQ2-003,Concurrent simultaneous password reset requests for the same account,REQ-2,A valid registered user account exists. The system supports password reset via email.,"Simultaneously submit two or more password reset requests for the same registered email address (e.g., via parallel browser sessions or automated concurrent HTTP requests).,Capture all reset links delivered to the email address.,Attempt to use the first received reset link to set a new password.,After successfully using the first link, attempt to use the second (or subsequent) reset link.",The system handles concurrent requests gracefully: only the most recently generated token should be valid (or all tokens except the first used are invalidated upon first use). Earlier or unused tokens are rejected. No race condition leads to multiple active valid tokens or account data corruption.,High,"Concurrency issues in token generation are not covered by existing tests. A race condition could result in multiple simultaneously valid reset tokens, posing a security vulnerability within the authentication scope of REQ-2."
7,EC-REQ2-004,Password reset email field containing a malformed or injected email string,REQ-2,User is on the password reset page. The backend processes the submitted email to query the user store.,"Navigate to the password reset page.,Enter a malformed or potentially malicious string into the email field, such as: ""test@example.com<script>alert(1)</script>"", ""' OR '1'='1"", or an extremely long string (e.g., 500+ characters).,Submit the password reset form.,Observe the system response and check server logs for errors or unintended behavior.","The system validates and sanitizes the input, rejects the malformed email with a clear validation error, does not execute any injected content, does not expose stack traces or internal errors, and does not send any reset email. The application remains stable.",High,"Existing tests only cover well-formed email inputs (valid, unregistered, or empty). Malformed or adversarial inputs targeting the authentication subsystem (in-scope per REQ-2) are a critical security edge case not currently tested."
8,EC-3-001,Password reset request with empty email field,REQ-3,User is on the password reset page and the email input field is empty,"Navigate to the password reset page,Leave the email input field completely empty,Click or submit the 'Reset Password' button","The system should display a validation error message indicating that the email field cannot be empty, and no reset email should be sent. The form should not be submitted.",High,An empty email input is a common boundary/null case not covered by existing tests. The system must gracefully handle blank submissions rather than crashing or sending requests with null values.
9,EC-3-002,Multiple concurrent password reset requests for the same email,REQ-3,A valid registered user account exists in the system,"Open two separate browser sessions or API clients simultaneously,Submit a password reset request for the same valid registered email address from both sessions at nearly the same time,Capture and attempt to use both reset links received in the email","Only one valid reset link should be active at a time. The first link should be invalidated when the second request is processed, or both links are valid but only the first one used successfully completes the reset while the second is then invalidated. No race condition or duplicate reset tokens should cause undefined behavior.",High,"Concurrency edge case not covered by existing tests. Simultaneous reset requests for the same account could lead to race conditions, duplicate tokens, or security vulnerabilities if not handled properly."
10,EC-3-003,Password reset email containing leading and trailing whitespace,REQ-3,A valid registered user account exists with a known email address,"Navigate to the password reset page,Enter the registered email address with leading and/or trailing whitespace (e.g., '  user@example.com  '),Submit the password reset form","The system should either trim the whitespace and successfully send the reset email to the valid address, or display a clear validation error. It should not silently fail or treat the padded input as an unregistered email.",Medium,"Whitespace-padded inputs are a common boundary/formatting edge case. Existing tests cover invalid formats but not inputs that are technically valid after trimming, which can cause inconsistent behavior."
11,EC-3-004,Password reset request when email service is unavailable or times out,REQ-3,A valid registered user account exists; the outbound email/SMTP service is simulated as unavailable or configured to time out,"Simulate or configure the email delivery service to be unavailable or to time out,Navigate to the password reset page,Enter a valid registered email address,Submit the password reset form,Observe the system response and any user-facing feedback","The system should display a meaningful error message informing the user that the email could not be sent and to try again later. It should not expose internal error details, and the failed request should be logged for monitoring purposes.",High,Failure/timeout scenario not covered by existing tests. External email service outages are realistic failure cases; the system must handle them gracefully without exposing sensitive internal errors to the user.
12,EC-REQ4-001,Password reset with empty/blank email field,REQ-4,User is on the password reset request page and the system is operational.,"Navigate to the password reset page,Leave the email field completely empty (or enter only whitespace characters),Submit the password reset form","The system rejects the submission with a clear validation error message (e.g., 'Email address is required') and does not attempt any backend processing or send any email.",High,"Empty or whitespace-only inputs are a common boundary condition. The system must validate presence before format, and silently passing an empty field to the backend could cause unhandled null/empty exceptions."
13,EC-REQ4-002,Multiple concurrent password reset requests for the same account,REQ-4,A registered user account exists. The system is operational.,"Send a password reset request for a valid registered email, generating reset link #1,Before link #1 expires or is used, send a second password reset request for the same email, generating reset link #2,Attempt to use reset link #1 to reset the password","Reset link #1 is invalidated upon issuance of reset link #2. Only the most recently issued link (#2) remains valid. Using the older link #1 results in an appropriate error (e.g., 'This reset link is no longer valid').",High,"Concurrency and token lifecycle management is a security-critical edge case. If stale tokens remain active, an attacker who intercepts an old email could still reset the account password even after the user requested a new link."
14,EC-REQ4-003,Password reset link accessed after account is deactivated or deleted,REQ-4,A registered user has requested a valid password reset link. The account is subsequently deactivated or deleted before the link is used.,"User requests a password reset link, which is sent to their email,An administrator deactivates or deletes the user account,The user clicks the still-valid (non-expired) password reset link,User attempts to set a new password",The system detects that the associated account no longer exists or is inactive and denies the reset operation with an appropriate error message. No password change is persisted.,High,This is an auth/permission edge case where a token is technically valid but the underlying account state has changed. Allowing password reset for a deleted/deactivated account could reactivate it unintentionally or cause undefined system behavior.
15,EC-REQ4-004,Password reset email sending failure due to mail service timeout or unavailability,REQ-4,A valid registered email is used. The outbound email/SMTP service is unavailable or times out.,"Simulate or configure the mail service to be unavailable or to time out,Navigate to the password reset page,Enter a valid registered email address,Submit the password reset form","The system handles the failure gracefully, returns a user-friendly error message indicating the reset email could not be sent, and does not expose internal error details. No partial or inconsistent state (e.g., a persisted but undeliverable token) is left in the database.",Medium,"Failure/timeout scenarios for downstream services are frequently overlooked. If the email service fails silently, the user receives no feedback and may be locked out of recovery, while orphaned reset tokens could accumulate in the database."
16,EC-001,Registration with password exceeding maximum allowed length boundary,REQ-001,The registration page is accessible and the system enforces a maximum password length,"Navigate to the registration page,Enter a valid, unregistered email address,Enter a password that exceeds the maximum allowed length (e.g., 256+ characters),Submit the registration form","The system rejects the registration attempt and displays a clear error message indicating the password exceeds the maximum allowed length, without crashing or truncating silently",High,"While the minimum boundary is tested, the maximum boundary is not. Silent truncation or acceptance of excessively long passwords can lead to security vulnerabilities and inconsistent authentication behavior."
17,EC-002,Registration with email address containing leading/trailing whitespace,REQ-001,The registration page is accessible and no account exists for the target email,"Navigate to the registration page,Enter an email address with leading and/or trailing whitespace (e.g., '  user@example.com  '),Enter a valid password meeting all requirements,Submit the registration form","The system either trims the whitespace and registers the user successfully with the normalized email, or rejects the input with a clear validation error. The system must not create a duplicate account if the trimmed version already exists.",High,"Whitespace in email inputs is a common user mistake. If not handled, it can create duplicate accounts, cause login failures, or allow bypass of the duplicate-email check, which is a critical data integrity issue."
18,EC-003,Registration with a password composed entirely of whitespace characters,REQ-001,The registration page is accessible,"Navigate to the registration page,Enter a valid, unregistered email address,Enter a password consisting only of spaces or whitespace characters (e.g., '        ') that meets the minimum length requirement,Submit the registration form","The system rejects the registration attempt and returns a validation error indicating that the password cannot consist solely of whitespace characters, preventing creation of an insecure account",High,"A whitespace-only password may pass a simple length check but represents an extremely weak credential. This edge case tests whether the system performs semantic password validation beyond length, preventing a significant security vulnerability."
19,EC-004,Concurrent registration attempts with the same email address,REQ-001,The registration endpoint is accessible; the target email address is not yet registered in the system,"Simultaneously submit two or more registration requests with the same email address and valid passwords (e.g., using parallel API calls or automated scripts),Observe the system response for each concurrent request,Check the database to verify the number of accounts created for that email",Exactly one account is created for the email address. All subsequent concurrent requests receive a duplicate-email error. No race condition results in multiple accounts being registered for the same email.,High,"Race conditions during concurrent registrations can bypass the duplicate-email check, resulting in multiple accounts for a single email. This undermines authentication integrity and is not covered by the sequential duplicate-email test."
20,EC-REQ002-001,Password consisting entirely of spaces with numbers and special characters,REQ-002,User is on the password creation or reset form. Password field accepts input.,"Enter a password consisting of spaces, a number, and a special character totaling 8+ characters (e.g., '   1!   '),Submit the password form","The system should reject the password as invalid, since whitespace-only or whitespace-padded passwords are not secure, or enforce a policy that disallows leading/trailing/only spaces.",High,"Whitespace characters may satisfy length and character-class rules technically, but represent a serious security vulnerability. This edge case verifies the system handles whitespace characters appropriately and does not accept them as valid complexity fillers."
21,EC-REQ002-002,Password at maximum boundary length with Unicode or multi-byte special characters,REQ-002,User is on the password creation or reset form. The system supports Unicode input.,"Enter a password that is exactly 8 characters long but uses a multi-byte Unicode character (e.g., '©' or '€') as the special character (e.g., 'Pass1©ab'),Submit the password form,Verify whether the Unicode character is counted as 1 character or multiple bytes toward the length requirement",The system should correctly count the Unicode character as one character toward the length requirement and accept or reject it consistently based on whether it qualifies as a 'special character' per the defined policy.,Medium,"Multi-byte Unicode characters can cause inconsistencies in character counting between front-end and back-end validation. This could allow passwords that appear valid to fail back-end checks or vice versa, creating security gaps or poor user experience."
