,requirement_id,description,category,severity
0,REQ-002,"The requirement does not define which special characters are permitted or prohibited. Different systems treat characters like spaces, Unicode symbols, or control characters differently. Without an explicit allowed/denied character set, testers cannot deterministically validate compliance, and developers may implement inconsistent rules.",ambiguity,High
1,REQ-002,There is no defined maximum password length. This creates a security gap (denial-of-service via extremely long passwords triggering expensive hashing) and leaves acceptance criteria incomplete for upper-bound boundary testing.,security_gap,High
2,REQ-002,"The requirement specifies constraints for new password creation but provides no acceptance criteria for how the system behaves when an existing password (set before this policy was enforced) does not meet the current policy — e.g., at next login, at next password change, or immediately.",missing_acceptance_criteria,Medium
3,REQ-002,"There is no acceptance criterion specifying the exact error message or user feedback when a password fails validation. Without this, UI behavior is untestable for correctness and consistency across registration and password-change flows.",missing_acceptance_criteria,Medium
4,REQ-002,"The requirement does not address whether the password policy also applies to the password-reset and password-change flows, or only to initial registration. This omission creates ambiguity about the scope of enforcement.",ambiguity,Medium
5,REQ-002,"There is no requirement for uppercase letter inclusion, password history (preventing reuse), or expiry policy. These are standard security controls whose absence may constitute a security gap depending on the threat model of the application.",security_gap,Low
6,REQ-003,"The requirement states a verification email shall be sent, but does not specify the trigger event. It is ambiguous whether the email is sent upon initial registration, upon each login attempt before verification, or upon explicit user request to resend. Testers cannot define a clear test entry condition.",ambiguity,High
7,REQ-003,"No acceptance criteria are defined for what happens when a user clicks an expired link (e.g., error message shown, option to resend, automatic invalidation behavior). The expected system response post-expiry is entirely unspecified.",missing_acceptance_criteria,High
8,REQ-003,The requirement does not specify whether the 24-hour expiry is calculated from the moment the email is sent by the server or from the moment it is delivered to the recipient's inbox. These can differ and produce inconsistent test results.,ambiguity,Medium
9,REQ-003,"There is no acceptance criterion defining what happens to an unverified account after the link expires — for example, whether the account is deleted, remains in a pending state indefinitely, or triggers a follow-up action. This is a testable state transition that is missing.",missing_acceptance_criteria,High
10,REQ-003,"The requirement does not specify whether a user can request a new verification link, how many times they may do so, and whether previously issued links are invalidated upon reissuance. This creates a potential security gap where multiple valid links could coexist.",security_gap,High
11,REQ-003,"The uniqueness guarantee of the link is not defined in measurable terms. There is no specification of the token generation algorithm, minimum entropy, or format, making it impossible to verify that the link is cryptographically unique and resistant to guessing attacks.",security_gap,High
12,REQ-003,"There is no acceptance criterion specifying whether unverified users are permitted to log in (REQ-004) or access any system functionality. The interaction between REQ-003 and REQ-004 is undefined, creating a potential conflict in authentication flow.",conflict,High
13,REQ-003,"The requirement does not specify the content or format requirements of the verification email beyond the link itself (e.g., required subject line, sender address, fallback plain-text version, localization), making completeness testing impossible.",missing_acceptance_criteria,Low
14,REQ-004,"No acceptance criteria defined for what constitutes a successful login. Missing specifics on: what response/redirect occurs after successful authentication, whether email matching is case-sensitive or case-insensitive, session duration/token expiry, and behavior when the account exists but the email is unverified (per REQ-003).",missing_acceptance_criteria,High
15,REQ-004,The requirement does not specify whether login is permitted for accounts that have not yet completed email verification (REQ-003). This creates a potential conflict: a registered but unverified user technically satisfies 'registered user' but may or may not be allowed to log in.,conflict,High
16,REQ-004,"The term 'registered user' is ambiguous. It is unclear whether this includes users who are deactivated (REQ-011), users with unverified emails (REQ-003), or users invited but not yet onboarded (REQ-009). Each state may require different login behavior.",ambiguity,High
17,REQ-004,"No security requirements are stated for the login mechanism itself, such as requirement for HTTPS/TLS, protection against credential stuffing beyond account lockout (REQ-005), password transmission handling, or brute-force throttling at the network level.",security_gap,High
18,REQ-004,The requirement does not specify error message behavior on failed login attempts. Returning distinct messages for 'email not found' vs. 'wrong password' would constitute a user enumeration vulnerability. Acceptable error response content is not defined.,security_gap,High
19,REQ-004,"No acceptance criteria exist for session management post-login: session token type, storage mechanism, expiry policy, concurrent session handling, or logout behavior are all unspecified, making the requirement incompletely testable end-to-end.",missing_acceptance_criteria,Medium
20,REQ-004,"The requirement does not clarify whether email address matching is case-sensitive. 'User@Example.com' and 'user@example.com' may or may not resolve to the same account, leading to inconsistent test outcomes and potential duplicate account issues.",ambiguity,Medium
21,REQ-013,"'Easy and intuitive' is a subjective, untestable statement. No measurable usability criteria (e.g., task completion rate, number of steps, time-on-task benchmark) are provided, making it impossible to objectively verify or write acceptance tests for this requirement.",untestable,Medium
22,REQ-013,"The use of 'should' (vs. 'shall') makes the obligation level ambiguous. It is unclear whether this is a mandatory requirement or a desirable goal, which affects prioritization and whether non-compliance constitutes a defect.",ambiguity,Low
23,REQ-005,"The requirement does not define what constitutes a 'consecutive' failed login attempt. It is unclear whether the count resets after a successful login, after a fixed time window, or only after the lockout period expires. This ambiguity makes consistent implementation and testing impossible.",ambiguity,High
24,REQ-005,"There is no acceptance criterion specifying how the 15-minute lockout timer starts (e.g., from the 5th failed attempt or from the last failed attempt). Test cases cannot be written without a precise definition of the timer's start event.",missing_acceptance_criteria,High
25,REQ-005,"The requirement does not specify whether the user, an administrator, or both should be notified when an account is locked. The absence of a notification rule is a security gap that could allow credential-stuffing attacks to go undetected.",security_gap,High
26,REQ-005,"There is no acceptance criterion defining the system's behavior after the 15-minute lockout expires: specifically, whether the failed-attempt counter resets to zero automatically or requires explicit administrative intervention.",missing_acceptance_criteria,Medium
27,REQ-005,"The requirement does not address whether an administrator can manually unlock a locked account before the 15-minute window elapses, creating a potential conflict with REQ-011, which grants administrators the ability to revoke access immediately.",conflict,Medium
28,REQ-005,"The requirement does not define what error message or UI feedback is presented to the user upon lockout or during the lockout period. Without this, the expected user-facing behavior cannot be tested.",missing_acceptance_criteria,Medium
29,REQ-005,"The requirement does not specify whether the lockout is enforced per IP address, per user account, or both. This ambiguity could allow attackers to bypass account-level lockouts by rotating IP addresses, representing a security gap.",security_gap,Medium
30,REQ-005,It is unclear whether the 5-attempt threshold and 15-minute lockout duration are configurable by an administrator or are hardcoded. The absence of this detail makes it untestable whether the system meets organizational security policy requirements that may differ from these defaults.,untestable,Low
31,REQ-009,"The requirement states the administrator can 'invite new team members by email' but does not specify what happens after the invitation is sent. There are no acceptance criteria covering: invitation email content, expiry period of the invite link, behavior when the invitee already has an account, behavior when the same email is invited multiple times, whether the administrator can cancel a pending invitation, or what role/permissions are assigned to the invited user upon acceptance.",missing_acceptance_criteria,High
32,REQ-009,'New team members' is ambiguous. It is unclear whether this means users who are entirely new to the TaskFlow platform (no existing account) or users who are new only to a specific organization or project but may already have an account. This affects how the onboarding and account-creation flow should behave post-invitation.,ambiguity,High
33,REQ-009,"The requirement does not define the scope of 'organization administrator'. REQ-010 defines three roles (Administrator, Project Manager, Contributor), but it is unclear whether 'organization administrator' maps directly to the 'Administrator' role in REQ-010 or represents a separate, higher-level role. This creates a potential conflict with the role model defined in REQ-010.",conflict,Medium
34,REQ-009,"There are no security-related acceptance criteria for the invitation flow. The requirement does not address: whether invitation links should be single-use, whether they should expire (and if so, after how long, contrasting with REQ-003's 24-hour expiry for verification emails), protection against invitation link enumeration or forwarding attacks, or rate limiting on the number of invitations an administrator can send.",security_gap,High
35,REQ-009,"The requirement does not specify what role or permission level is assigned to the invited user by default upon accepting the invitation, nor whether the administrator can pre-assign a role at the time of sending the invite. Without this, the interaction with REQ-010 (three distinct roles) cannot be fully tested.",missing_acceptance_criteria,Medium
36,REQ-013,"'Easy and intuitive' is a subjective and untestable statement. There is no measurable acceptance criterion (e.g., task completion time, error rate, usability score, or specific UI affordances) that would allow QA to objectively verify this requirement is satisfied.",untestable,Medium
37,REQ-013,"REQ-013 uses the keyword 'should' (not 'shall'), making it a non-mandatory requirement per standard SRS conventions. However, there is no rationale or condition provided for when it may be acceptable to not meet this requirement, leaving its testability and priority undefined.",ambiguity,Low
38,REQ-010,"The requirement states that Administrator, Project Manager, and Contributor each have 'distinct permissions' but nowhere in the SRS are those permissions enumerated or defined. There are no acceptance criteria specifying what each role can or cannot do, making it impossible to test whether the permission boundaries are correctly implemented.",missing_acceptance_criteria,High
39,REQ-010,"The phrase 'distinct permissions' is ambiguous. It does not specify whether permissions are additive (e.g., Administrator inherits all Project Manager permissions) or fully disjoint, nor whether permissions are scoped per-project or globally across the organization.",ambiguity,High
40,REQ-010,"There is a potential conflict between REQ-009, which refers to an 'organization administrator', and REQ-010's 'Administrator' role. It is unclear whether these are the same role or two separate concepts with different scopes (organization-level vs. project-level), which could lead to contradictory permission implementations.",conflict,High
41,REQ-010,"No security controls or access-enforcement mechanism is described. There is no requirement specifying that the system must prevent privilege escalation, enforce role checks server-side, or audit role assignments, representing a significant security gap.",security_gap,High
42,REQ-010,"The requirement does not define how roles are assigned, changed, or revoked (e.g., who can assign a role, whether a user can hold multiple roles, and whether role changes take effect immediately or at next login). This missing criteria makes the feature partially untestable.",missing_acceptance_criteria,Medium
43,REQ-010,The requirement does not state whether the three listed roles are the only permitted roles or whether new custom roles can be created. This ambiguity affects both implementation scope and test coverage.,ambiguity,Medium
44,REQ-012,"REQ-012 (noted in the header as REQ-12) carries an inconsistent identifier. The document body labels it REQ-012 while the submission header labels it REQ-12, creating a traceability and referencing conflict.",conflict,Low
45,REQ-013,"The requirement ID in the header is labeled 'REQ-13' but the document body uses 'REQ-011' and 'REQ-013' for different requirements. The heading 'Requirement REQ-13' appears to reference REQ-011 content, creating a numbering conflict that makes traceability unreliable.",conflict,High
46,REQ-013,"The statement 'the system should make user management easy and intuitive for administrators' uses 'should' (non-mandatory) and subjective terms ('easy', 'intuitive') that cannot be objectively measured or tested. There are no defined usability metrics, task completion benchmarks, or user testing criteria.",untestable,High
47,REQ-013,"No acceptance criteria are defined for what constitutes 'easy and intuitive' user management. Missing criteria such as maximum number of clicks to complete a task, error rate thresholds, learnability benchmarks, or usability test pass/fail conditions.",missing_acceptance_criteria,High
48,REQ-013,"The scope of 'user management' is ambiguous. It is unclear whether this covers only deactivation (REQ-011), or also invitation (REQ-009), role assignment (REQ-010), profile editing (REQ-012), and any future management features.",ambiguity,Medium
49,REQ-011,"The requirement does not specify what happens to active sessions, issued tokens, or in-progress actions belonging to the deactivated user at the moment of deactivation. 'Immediately' is ambiguous with respect to session invalidation, API token revocation, and SSO/OAuth token handling.",ambiguity,High
50,REQ-011,"No acceptance criteria are defined for 'immediately'. Missing measurable thresholds such as maximum latency for access revocation (e.g., within N seconds), behavior across concurrent sessions, and expected system response if revocation encounters an error.",missing_acceptance_criteria,High
51,REQ-011,"There is no security requirement addressing audit logging of deactivation events, administrator authorization verification before deactivation, or prevention of an administrator deactivating their own account or other administrators, creating a potential privilege abuse gap.",security_gap,High
52,REQ-011,"The requirement does not specify the fate of the deactivated user's owned projects, assigned tasks, comments, or file attachments. It is unclear whether those assets are reassigned, preserved, or become inaccessible, which conflicts with implied project continuity needs.",missing_acceptance_criteria,Medium
53,REQ-013,"The phrase 'easy and intuitive' is highly subjective and cannot be objectively measured or tested. There is no defined benchmark, user satisfaction score, task completion rate, or usability metric specified to determine whether the requirement has been met.",untestable,High
54,REQ-013,"No acceptance criteria are defined for this requirement. There is no specification of which user management tasks must be accomplishable, within what number of steps, in what time frame, or with what error rate to qualify as 'easy and intuitive'.",missing_acceptance_criteria,High
55,REQ-013,"The requirement uses 'should' rather than 'shall', making it a non-binding aspiration rather than a verifiable mandate. This is inconsistent with other requirements in the SRS (e.g., REQ-009 through REQ-012) that use 'shall', creating ambiguity about whether this requirement must be implemented and verified.",ambiguity,Medium
56,REQ-013,"The scope of 'user management' is undefined in this requirement. It is unclear whether it refers solely to the actions described in REQ-009 through REQ-012 (invite, role assignment, deactivation, profile update) or encompasses additional undocumented administrative functions, making completeness impossible to verify.",ambiguity,Medium
57,REQ-013,"No target user persona or baseline proficiency level for 'administrators' is defined. Without knowing whether administrators are assumed to be technical or non-technical users, the usability standard cannot be consistently designed or tested.",missing_acceptance_criteria,Low
58,REQ-014,"The requirement does not specify maximum or minimum length constraints for the project name and description fields, leaving validation rules undefined and untestable.",missing_acceptance_criteria,High
59,REQ-014,"No acceptance criteria are defined for what constitutes a valid start date (e.g., cannot be in the past, must be a specific format). It is unclear whether a start date in the past is permitted.",missing_acceptance_criteria,High
60,REQ-014,"The relationship between the start date and the optional end date is not specified. There is no stated rule preventing the end date from being earlier than or equal to the start date, making validation behavior ambiguous.",ambiguity,High
61,REQ-014,"The requirement does not define what happens after a project is successfully created (e.g., redirect to project dashboard, confirmation message, notification to team members), leaving post-creation behavior undefined and untestable.",missing_acceptance_criteria,Medium
62,REQ-014,"It is ambiguous whether the Project Manager can create a project on behalf of another user or organization, or only within their own organizational scope. The scope of project ownership is not defined.",ambiguity,Medium
63,REQ-014,"The requirement does not specify whether project names must be unique within an organization, globally, or not at all. Duplicate name handling is entirely absent.",missing_acceptance_criteria,Medium
64,REQ-014,"No access control or security constraint is stated regarding who can view the newly created project after creation (e.g., is it private by default, visible to all org members). This represents a potential security gap.",security_gap,High
65,REQ-014,"The requirement does not specify the expected date format or whether the input must respect the user's time zone setting defined in REQ-012, creating a potential conflict with time zone-sensitive scheduling.",conflict,Medium
66,REQ-017,"REQ-017 appears to be a duplicate or mislabeled wrapper around REQ-014. The requirement ID REQ-017 contains the text of REQ-014, which creates a numbering conflict and makes traceability impossible.",conflict,High
67,REQ-18/REQ-015,The requirement ID is malformed and inconsistent — it is labeled both 'REQ-18' and 'REQ-015' simultaneously. This makes traceability and cross-referencing unreliable across the specification.,ambiguity,High
